bloco_id;categoria;grupo;bloco_nota;escopo;codigo;texto
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.1;Existe Manual da Qualidade?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.2;Existe Política e Objetivos da Qualidade?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.3;Possui listagem de Normas/Procedimentos internos?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.4;Possui processo de comunicação interna e externa?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.5;Possui funções, responsabilidades e autoridades definidas em relação ao SGQ?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.6;Disponibilidade de recursos essenciais para definição, implementação, manutenção e melhoria do SGQ?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.7;Possui processo de controle de competência e treinamento?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.8;Disponibiliza, administra e mantém ambiente de trabalho adequado?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.9;Possui processo de controle de documentos?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.10;Possui processo de controle de registros?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.11;Possui requisitos do cliente, legais e outros requisitos definidos?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.12;Identifica e planeja processos e documentos necessários para realização do produto ou serviço?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.13;Identifica e realiza gestão dos riscos relacionados ao produto ou serviço?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.14;Possui controle sobre propriedade do cliente?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.15;Possui processo de gestão de estoque e preservação de produtos?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.16;Possui controle de não conformidades, ações corretivas e preventivas?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.17;Possui processo de gestão da mudança?
1;Gestão da Qualidade - Organização do Fornecedor;SGQ;SGQ;GERAL;1.18;Realiza medição, análise e melhoria do SGQ?
2;Gestão da Qualidade - Suprimentos;SGQ;SGQ;GERAL;2.1;Existe sistemática para seleção, qualificação e avaliação de fornecedores?
2;Gestão da Qualidade - Suprimentos;SGQ;SGQ;GERAL;2.2;Existe sistemática para tratamento de material não conforme no recebimento?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.1;Existe manual de Segurança e Saúde Ocupacional?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.2;Possui Programa de Prevenção de Riscos Ambientais?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.3;Possui Programa de Controle Médico e Saúde Ocupacional?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.4;Possui indicadores de acidentes com e sem afastamento?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.5;Possui SESMT conforme NR-04?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.6;Possui CIPA?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.7;Possui sistemática de avaliação e investigação de acidentes?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.8;Possui plano de treinamento em SMS?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.9;Possui plano de gerenciamento de resíduos?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.10;Possui Licença de Operação emitida por órgão ambiental?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.11;Possui processo para análise de risco operacional?
3;Gestão da Qualidade - Saúde, Segurança e Meio Ambiente (SMS);SGQ;SGQ;GERAL;3.12;Possui lista de controle de EPIs adequados às atividades?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.1;Possui política ou procedimento de gestão de ativos com indicadores definidos?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.2;Possui política de segurança da informação, cibersegurança e privacidade?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.3;Possui sistemática implementada para atendimento à LGPD?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.4;Possui iniciativas para eficiência energética e redução de emissões?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.5;Possui política de compliance e antissuborno?
4;Gestão da Qualidade - Outros Requisitos;SGQ;SGQ;GERAL;4.6;Possui mecanismos para garantia dos Direitos Humanos em suas atividades?
